currency,original_currency,original_price,page,price,source,source_currency,source_scraper,title,url
BGN,BGN,29520.0,1,лв29520.00,Allstore.bg,BGN,AllStoreScraper,"Реновиран преносим компютър Dell Latitude 5410 14``, 1920 x 1080, IPS, Intel Core i5‑10210U (10-то поколение), 8 GB DDR4, 256 GB, клас А-",https://allstore.bg/product/609385/renoviran-prenosim-kompyutar-fujitsu-lifebook-e5411-14-1920-x-1080-ips-intel-core-i5-1135g7-11-to-pokolenie-8-gb-ddr4-256-gb-klas-a.html
BGN,BGN,29524.0,1,лв29524.00,Allstore.bg,BGN,AllStoreScraper,"Процесор Intel Raptor Lake Core i5-13500 TRAY, 2.5GHz, 24MB, LGA1700, 65W",https://allstore.bg/product/613744/protsesor-intel-raptor-lake-core-i5-13500-tray-2-5ghz-24mb-lga1700-65w.html
BGN,BGN,30240.0,1,лв30240.00,Allstore.bg,BGN,AllStoreScraper,"Реновиран преносим компютър Fujitsu Lifebook E5410 14``, 1920 x 1080, WVA, Intel Core i5‑10210U (10-то поколение), 8 GB DDR4, 256 GB, клас А",https://allstore.bg/product/615346/protsesor-intel-raptor-lake-core-i5-14400-6p-4e-cores-2-50-ghz-20mb-lga1700-65w-box.html
BGN,BGN,30240.0,1,лв30240.00,Allstore.bg,BGN,AllStoreScraper,"Реновиран преносим компютър Fujitsu Lifebook E5410 14``, 1920 x 1080, WVA, Intel Core i5‑10210U (10-то поколение), 8 GB DDR4, 256 GB, клас А",https://allstore.bg/product/622088/protsesor-intel-raptor-lake-core-i5-14400-tray-6p-4e-cores-2-50-ghz-20mb-lga1700-65w.html
BGN,BGN,30240.0,1,лв30240.00,Allstore.bg,BGN,AllStoreScraper,"Реновиран преносим компютър Fujitsu Lifebook E5410 14``, 1920 x 1080, WVA, Intel Core i5‑10210U (10-то поколение), 8 GB DDR4, 256 GB, клас А",https://allstore.bg/product/609470/renoviran-prenosim-kompyutar-fujitsu-lifebook-e5410-14-1920-x-1080-wva-intel-core-i5-10210u-10-to-pokolenie-8-gb-ddr4-256-gb-klas-a.html
BGN,BGN,30910.0,1,лв30910.00,Allstore.bg,BGN,AllStoreScraper,"Процесор Intel Raptor Lake Core i5-13400 TRAY, 6P+4E Cores, 16 Threads (2.50 GHz Up to 4.60 GHz, 20MB, LGA1700), 65W",https://allstore.bg/product/622390/protsesor-intel-raptor-lake-core-i5-13400-tray-6p-4e-cores-16-threads-2-50-ghz-up-to-4-60-ghz-20mb-lga1700-65w.html
BGN,BGN,16148.0,1,лв16148.00,Allstore.bg,BGN,AllStoreScraper,INTEL Core i5-14400F 2.5GHz LGA1700 20M Cache Tray CPU,https://allstore.bg/product/623426/intel-core-i5-14400f-2-5ghz-lga1700-20m-cache-tray-cpu.html
BGN,BGN,16771.0,1,лв16771.00,Allstore.bg,BGN,AllStoreScraper,"Intel CPU Desktop Core i5-14400F (up to 4.70 GHz, 20M Cache, LGA1700) tray",https://allstore.bg/product/624190/intel-cpu-desktop-core-i5-14400f-up-to-4-70-ghz-20m-cache-lga1700-tray.html
BGN,BGN,24293.0,1,лв24293.00,Allstore.bg,BGN,AllStoreScraper,"Реновиран преносим компютър HP ProBook 440 G6 14``, 1920 x 1080, IPS, Intel Core i5‑8250U (8-мо поколение), 8 GB DDR4, 256 GB, клас A-",https://allstore.bg/product/622414/renoviran-prenosim-kompyutar-hp-probook-440-g6-14-1920-x-1080-ips-intel-core-i5-8250u-8-mo-pokolenie-8-gb-ddr4-256-gb-klas-a.html
BGN,BGN,28800.0,1,лв28800.00,Allstore.bg,BGN,AllStoreScraper,"Реновиран лаптоп Fujitsu LifeBook U759 15.6``, 1920 x 1080, IPS, Intel Core i5-8265U (8-мо поколение), 8 GB DDR4, 256 GB m.2 NVMe, клас А",https://allstore.bg/product/614913/protsesor-intel-raptor-lake-i5-14600k-14-cores-3-5-ghz-24mb-125w-lga1700-box.html
BGN,BGN,28800.0,1,лв28800.00,Allstore.bg,BGN,AllStoreScraper,"Реновиран лаптоп Fujitsu LifeBook U759 15.6``, 1920 x 1080, IPS, Intel Core i5-8265U (8-мо поколение), 8 GB DDR4, 256 GB m.2 NVMe, клас А",https://allstore.bg/product/615728/protsesor-intel-core-i5-13400-4-60ghz-l1700-tray.html
